renewables [MW],electrical load [MW]
15169,55774
15315,54621
15292,53516
15293,52733
15458,52551
15283,52202
15701,51123
16324,51362
16278,51565
16917,52603
18896,54310
21475,56212
22836,57628
22559,56954
20748,55220
19709,54919
20042,57795
21909,61488
22574,61856
22801,60344
23456,58345
23509,56536
27902,59887
28200,58143
28246,57692
29305,56721
30060,55911
30918,55891
31796,56866
32142,58531
32468,60698
32929,62277
33424,65115
33118,66273
33682,68070
34554,69648
34563,69906
34796,68872
33690,67557
32170,67005
32559,68584
32333,70354
33081,70541
32296,68982
31537,65190
30661,64024
30892,64040
30926,62956
30702,60677
29974,58325
28929,56856
28186,57041
27168,57940
27088,58133
27935,58131
28608,59733
30113,62009
31406,64010
31707,65481
32424,67621
32257,67899
30333,66603
28159,65400
26420,65086
25541,65834
24896,67628
23867,67326
22308,65232
22130,63579
23394,62970
23633,61994
24574,59981
24899,56568
25741,55777
25976,55704
26120,55600
26350,55459
26145,55215
25820,54527
25311,54244
25540,55236
26161,56424
27726,58518
29933,61300
29511,62082
28436,60920
26537,59365
24211,58776
23238,60649
23511,63948
23357,64489
23064,64146
22191,62890
21100,62033
19967,60956
19980,60432
20393,57046
20234,56505
20564,56949
20608,58154
21373,59771
22786,60638
23681,64513
23548,68297
23668,70698
23894,72688
24871,73424
25627,73614
25932,73795
24211,72890
21150,72133
17005,70885
15198,72735
15362,76347
15453,75461
14733,74184
12396,69636
11233,66735
10719,65285
9785,63059
8452,61668
7979,60028
7692,60015
7507,59939
7537,60581
7872,61177
8660,62684
9200,65045
10378,67199
11916,68675
15245,70294
17647,72052
18366,72003
17747,70778
15845,69129
13988,67853
15437,69901
17141,72643
17859,73298
17686,71566
17194,68662
16315,66722
16994,66492
16642,63745
16767,62394
16011,60602
15688,60550
16140,61112
16172,62577
15860,62940
16290,66831
16779,71559
17770,73598
17233,73520
18038,74655
19843,76557
20146,75976
21053,75275
20032,74209
17901,73726
17673,74036
19662,77438
19904,77179
20065,75634
21571,72229
21899,70718
22765,69009
22849,65346
22812,63363
23595,62632
24196,62585
24180,63005
24523,63391
24490,64752
