renewables [MW],electrical load [MW]
25347,69490
26388,74123
27410,75862
27788,75956
28106,75924
28471,76676
27807,75182
27209,74431
26088,73450
24500,72481
26713,73299
27873,75067
27941,74991
27820,73112
29401,71084
30530,68632
30941,66960
30539,63308
30182,61476
29874,60115
30121,60362
31122,61431
32574,62561
34066,64023
35449,67854
37153,72788
39497,74503
40949,76341
41261,76460
39968,75599
39071,74936
38733,74346
38766,73481
38654,72790
38700,73093
40422,73902
38603,72579
36191,71052
34163,68561
31852,66929
30185,63328
29231,59570
28185,57064
28237,55555
28763,53430
29977,54765
31338,54734
32530,55696
34868,56511
35861,60045
37181,62925
37960,64393
39906,66794
43692,68658
43916,68635
42645,66557
40931,64638
38840,63956
38194,65492
41175,68768
40286,68641
38447,67783
36166,64026
35225,61777
34516,60933
33212,60679
32634,57361
32089,56178
31573,55706
31214,55951
31690,56751
31823,56608
32672,56192
33478,56955
34642,59097
36177,60738
39009,62641
41336,65708
41352,65891
41287,65125
40529,64739
38634,63599
37693,63940
39744,67811
39962,68804
38504,67070
36974,64818
35638,62949
35627,62817
33757,61240
33824,60278
32908,59760
31826,58108
30832,58526
30553,59368
31499,62328
34177,68501
35449,73251
36089,76090
36925,76181
39128,79052
40621,80422
40769,80446
40869,80221
39900,79251
39055,77576
38057,76211
38376,75695
37803,75399
37931,76078
36709,74288
36078,71506
34727,67471
32675,63825
30936,61331
29451,59816
28160,59683
27931,60502
28539,62001
29836,64571
32118,69712
33904,75110
35180,77287
37328,76962
41285,77351
43665,77911
44029,77235
41540,74930
38243,74499
34195,73708
31218,72949
31282,74034
30155,73645
29049,71605
26734,68224
26492,67191
26610,65337
25634,61801
24328,59517
23366,58526
22282,57543
22369,58396
23098,60535
24541,62511
26771,68620
29908,74608
31620,76255
32538,76124
33618,77349
33323,77982
32532,76613
30743,75697
27988,74360
25791,73853
25002,74504
25302,76851
26024,76199
25434,74853
24942,72901
24287,70221
24427,68071
23712,63948
22581,63369
22694,62512
23215,62356
24657,63797
26373,63719
28419,64776
31369,69263
34393,73865
35504,75870
35098,75848
36413,77107
37993,78354
38115,78578
36973,76721
35840,75453
34491,74638
33672,74972
34757,76668
34645,76324
34614,75660
34037,72756
33328,69617
32018,66986
30755,63919
29546,61027
28611,59780
28590,59631
27803,60206
27086,61343
26366,64263
25805,69271
26394,73802
24876,75287
24294,74503
24458,75129
24406,75895
23162,74087
20884,72608
17794,70406
13940,69078
12648,69815
14010,72576
14828,71727
14230,70461
13844,67085
12477,63102
12218,60821
11804,58063
12040,55152
11975,53707
12361,54033
12588,54673
12829,56276
12971,55852
13358,54769
13624,55535
14566,57898
15306,59266
16890,60362
17968,61215
18544,60585
18356,60186
16636,58834
14297,57531
13606,57629
15836,61812
16728,63685
17133,61857
16346,60392
15902,59519
16530,59642
15571,57375
15358,56337
15287,55409
15111,55371
15364,54772
15438,54992
15373,54318
15236,53449
15488,54646
15372,55007
16541,58137
18248,60470
19318,61988
19786,62129
18432,60086
16146,57799
13287,56540
11571,57599
12683,61226
13919,62099
12983,61233
12301,59695
11484,58979
11479,58772
11089,58704
10628,55697
9994,53835
9578,54775
9136,55241
8786,56343
9057,58596
9671,65582
10882,71846
11290,74543
12743,74148
14483,74550
14531,75806
14242,77134
13288,75581
11710,75368
9972,74251
9933,74160
12182,76155
12055,76000
10092,74433
9598,70998
9250,67777
9387,64746
9204,62459
9042,60772
8734,60534
8703,59680
8648,59971
8662,61123
8687,62822
8879,67575
10691,73526
12041,75285
11913,74968
12545,75582
13140,77272
12581,76803
12078,76171
10399,75531
9117,75267
8552,74451
11556,76954
11554,77333
10339,75680
9101,71556
8762,69115
8687,66357
8732,62885
8748,62130
8550,61981
8533,61380
8550,61895
8667,63392
8855,63757
9469,68650
10871,74281
12673,76792
13456,76313
14287,77158
14530,77254
14722,77257
14427,76178
13323,76250
11613,75289
10883,75014
14049,77274
13759,77021
13031,75578
12153,71620
12066,68973
11890,66296
11793,63789
11542,62741
11208,61412
11022,60798
10923,61166
11054,62056
11311,63791
11591,68733
12048,74004
13321,75725
14207,76179
14912,76844
15946,77724
13699,77397
13304,76775
12323,76330
11220,75022
10742,75093
12314,77176
12911,76062
10790,73509
10088,70015
9970,67143
9698,64680
9439,62395
9327,60424
9034,59606
8863,60315
8803,60716
8858,61098
8772,61879
9178,66481
9974,72253
12259,75151
12485,75196
12149,76261
12246,76449
10967,75233
10750,73841
10243,72391
9542,72178
9210,72822
11726,74625
11001,74263
9724,72777
10009,69370
10937,66390
11437,65108
12060,63254
12578,64092
12720,63495
13346,63273
14285,63472
14928,63471
15216,62734
15583,62722
16045,63341
16276,64448
16964,66389
17551,67817
16875,68626
15826,68333
15040,66963
13977,65751
13555,64714
13491,64901
16651,68053
17001,68822
15337,66990
14776,62985
14949,61898
15051,62130
15218,60850
15317,58823
15628,58613
15467,57194
15355,58249
14915,57563
14522,57330
14111,55689
14034,55339
13715,56565
14292,58816
14077,60783
14268,62149
14127,61862
13423,60549
12478,59309
11477,58724
11216,59332
12280,62466
12745,64302
11924,63597
10850,61885
10077,60864
10290,60799
10140,59370
10511,58770
10905,57955
11417,58146
11728,58597
12286,59239
12869,61542
13847,67573
16013,73695
18379,76166
18602,76095
19852,77076
21075,77951
21494,77628
21584,77277
20625,75955
20351,75516
20181,74734
21738,77263
22406,77605
22911,75918
22048,72699
21949,70373
21722,69164
22369,66313
22963,62996
23079,62231
23169,61865
22790,61847
22921,63332
22821,65667
23026,70216
23749,75238
23751,76130
22668,75135
23697,76074
24277,77630
24423,77375
23386,76028
21788,75298
20008,74489
17961,73605
18559,75856
17890,76277
16911,75049
15731,71430
15475,68815
14358,66214
13944,63366
14002,61997
13661,61097
13758,60160
14295,60625
15209,61439
16194,63136
18594,69382
21529,74772
24946,76323
26495,76409
27733,77504
30795,78943
32726,78638
34549,78490
35364,77515
34761,76978
34731,76533
35573,79008
35229,79016
34292,77019
34108,73589
33430,71480
33078,69972
31257,67497
29819,66591
29358,66254
28732,64970
28277,64531
28274,65710
28299,67174
29145,72009
30224,77126
30249,79115
32181,79310
34575,80548
35498,81684
35338,80312
33521,77926
30896,77022
26864,75245
23991,73435
23300,76125
22878,77034
21052,74851
19551,71470
17286,69010
16248,66592
14914,63988
13827,62469
13423,61891
12750,61917
12541,63178
12654,64925
12524,65024
13292,69201
15684,74329
16189,75825
16944,75365
17730,75484
17680,76351
16947,75626
15797,74177
14724,72705
12433,73371
11993,72758
13742,74894
14547,75428
13376,74308
12016,70867
12207,67721
12278,66219
12247,62894
12385,61228
12410,59967
12665,58888
13171,59095
13803,59353
13726,58613
13580,58164
13386,59493
13682,61592
14841,64113
15988,65876
16999,66763
17276,65919
17068,64206
16288,64286
14521,63887
13148,63574
13831,67084
14888,68543
14717,66237
13792,62664
13663,62127
13996,61073
13606,58979
13061,58409
12658,56372
11918,54879
11461,54661
11198,55309
11020,55085
10967,53431
11026,54722
11300,56472
12607,59660
14394,61552
16346,63187
16358,62903
16015,61700
15263,60497
14089,59890
13819,60544
14936,63838
16342,65829
16342,65459
15547,63118
15160,62213
15599,63083
15400,61354
15115,58987
14822,57845
14274,57385
14942,58682
15633,60096
16045,63240
16466,69049
17860,74791
18522,76422
19269,76974
20482,77534
21742,78276
22433,78260
21850,77398
20867,75951
18803,75337
16958,74456
17350,76328
17819,77498
16745,76477
15759,72933
15673,70614
15263,68546
14486,65819
14100,64040
13586,63680
13470,63896
13609,64410
13649,63949
13162,65325
12773,69604
14169,75521
14737,77225
14395,77062
15212,77779
16213,78712
16700,78736
16310,77995
15410,76402
14253,74964
12628,74007
13030,77028
13429,78913
12625,77443
11290,73984
11106,70571
10393,67982
9925,65057
9937,64957
9583,63923
8885,63718
8964,63767
9125,63633
9181,64223
9800,69140
11090,74853
12207,77128
12644,76897
14021,77579
15355,78319
15714,77824
15682,77035
14538,75925
12644,75123
10472,74503
10693,77031
11897,78222
10700,76840
9652,73581
8882,71136
8827,69488
8491,66128
8352,65921
8446,64264
8530,64147
8838,64159
9060,64530
9316,66032
10193,70909
11975,76446
13311,78525
15130,78469
16229,78902
17382,79281
18011,76787
18588,78067
18181,76646
17315,76063
16031,75179
16993,77209
17435,79000
17868,77602
18097,73544
18146,71316
18182,69683
17634,68131
17151,65905
16934,64795
16643,64294
16273,64430
16290,65477
16041,66550
16198,69655
17637,74826
18051,76046
18917,77175
20108,77449
22495,78239
23221,77621
23181,76213
21860,74204
19247,73319
16047,71857
16487,74096
17175,76254
15186,74568
13559,70900
12453,68666
12258,67268
12147,64808
11774,62385
11374,61736
11350,60738
11304,59957
11596,59511
12062,59379
12826,58916
14315,60802
16307,63493
19507,66251
22838,67693
26249,69241
28379,68973
28947,67225
28311,64662
26892,63885
25602,64138
26558,66440
28565,69828
27931,67439
28474,64982
29551,63489
31007,63663
31585,62964
31590,61392
32248,60292
32637,60041
32154,59262
30889,57898
29793,57200
28371,54858
27698,54879
27019,56495
29739,60470
32634,63496
33425,63956
34072,63606
33219,62763
30963,60563
26745,58648
21700,58156
19296,60491
21535,65068
21667,64940
21957,63346
22926,62839
24241,63683
24493,62201
23773,60912
24550,60658
24851,60756
25246,60963
25936,61744
26423,64328
27855,68121
28253,73076
27851,75314
27661,75381
28881,76610
29244,77504
29390,76893
28907,76589
27727,76030
25951,74881
23674,74238
23925,75848
23372,77060
21227,76116
19442,70864
18776,68312
18408,66994
17711,65175
16981,60891
16296,60184
16219,60753
15860,60656
15309,60407
14839,62044
15166,67638
15666,72648
16385,73555
16876,74287
18136,74966
18984,75466
19640,75197
19195,74893
18275,74075
16179,72686
13761,71153
13977,72383
14551,74103
13504,72349
10876,68650
10393,65961
10073,63330
9708,60503
9257,60995
9009,59901
8856,59494
8534,59973
8215,60880
8179,63177
8484,68361
9579,73204
10682,75319
11604,75838
12859,76805
13721,76660
13875,76351
13587,75798
13432,74425
12081,73738
9962,72331
10785,74752
12182,76907
11625,75454
9726,71546
9026,67589
8774,65856
8330,63480
8139,61846
7961,61031
7791,60772
7572,61568
7332,61536
7301,62682
8165,68313
10550,73221
11341,75295
13327,75370
14375,77005
15729,78081
16185,77852
15880,77045
14196,75377
11760,74477
9153,73525
8864,74900
11626,76898
10871,75616
9313,72053
9544,68433
9440,67054
9289,64614
9285,63021
9221,62896
9391,61984
9481,61931
9422,63036
9629,64330
10597,68825
12258,73752
14465,75760
16108,76900
18304,78180
21212,78055
21979,76375
21139,75746
19621,73408
16874,71879
13826,70516
13821,72985
16812,75962
16119,74225
15299,70550
14387,68080
14234,65951
13958,63628
13468,60810
12961,59789
12864,58780
12560,58627
12198,58839
12181,57849
11836,57382
12369,58467
14171,61347
16449,64075
18987,65843
20769,66667
21216,65101
20546,63156
19120,61971
16213,60677
13067,59528
13482,61995
16628,65510
15703,63840
14810,60670
14389,58873
14546,58317
14040,56682
13811,56158
13863,56474
14574,55674
15036,55716
15255,56550
15541,56407
15877,56016
16227,56043
17778,57591
19826,59211
21986,60830
24301,63115
25049,62347
25089,60684
23369,58481
20454,55800
16487,55665
16903,59633
19141,63860
18706,63796
18085,61713
17115,59801
16901,60758
16729,59525
16347,58068
16251,57248
15906,56660
15858,57574
15967,57712
15907,59424
16227,64577
16801,68764
18947,71232
21558,72700
24439,74451
25393,75031
26363,74684
26221,73170
24346,71428
20991,70113
17161,69257
15911,70371
18997,73828
18113,73606
16152,69952
15268,67096
14756,66880
13603,64492
12953,62687
11968,61654
11185,61419
10810,62313
10715,62745
10208,63472
10798,68045
12292,73053
13954,75229
15901,75778
16864,77559
17308,78578
17281,77413
16145,76173
14559,74318
12084,72999
10775,72097
11782,73750
13112,75546
11903,74272
10533,70544
9754,68237
9866,67104
9773,64440
9657,61870
9591,61399
9573,61369
9496,61835
9666,62568
9958,63405
11121,68258
13038,72240
13961,75019
15251,75501
17115,76797
18030,77313
19548,76863
20589,76150
20004,74758
18413,73901
15884,72667
14660,73944
18214,76672
18461,76241
17573,73323
17526,71576
17539,69732
16730,66615
16503,64932
16042,64090
16122,64037
16285,64611
16633,65144
16535,66000
17482,70168
18630,74514
20414,75922
22450,76645
24675,77862
27215,79281
28575,78079
28842,77242
27950,75837
24359,73842
20260,72322
19219,73118
21618,76228
21354,75361
20174,72472
20124,71008
19893,68809
19507,65446
20942,66067
20587,64792
20686,64502
21023,65597
20938,64991
21422,66531
23508,69336
24920,74291
27846,76193
31999,77400
36956,78761
40254,79485
42157,78320
40010,75656
35696,71692
30182,70360
23420,68939
20225,69256
21869,72213
21766,70931
19965,67348
19500,64669
19720,62268
19527,58741
19614,56080
20191,55810
20946,56466
21182,56009
22075,57230
22085,56707
21895,56697
21695,57437
23147,59947
26102,62997
29040,66767
32006,68744
33018,68447
31152,66659
28119,64456
23995,61279
20852,59989
17976,61161
18391,63735
17052,63748
15033,60763
13464,58657
13586,58624
12881,58117
12115,54876
11699,53939
11673,54413
11464,54504
11132,54282
10961,52395
11553,51289
12022,52070
13243,54124
15699,57311
18959,60575
21402,61940
21598,61182
21604,59602
20354,58040
18242,56663
15571,56538
14974,59177
18280,63986
19141,63997
20240,62822
21854,62036
24026,63231
25013,63330
26549,62089
28520,62224
29181,61771
30780,62386
31266,63059
31479,65607
32429,70795
32165,75326
32077,77881
31487,78549
30963,79360
30539,79904
28178,79146
26011,78767
24429,77090
21507,75618
18208,74332
17605,75158
19483,77049
19359,75695
18723,72234
18054,69520
18556,67462
18869,63990
19899,64263
20482,63140
21486,62756
22114,63443
22440,64120
22993,65362
23884,70222
24606,73827
26174,76192
29717,77265
32523,77791
34314,78685
33742,77976
32287,76508
29618,75532
25341,73727
21559,72170
20100,72884
21955,76414
21208,75887
19929,72460
19462,70983
19125,68914
18535,65944
17556,63415
16989,62923
16740,62667
16063,62342
15609,62579
15659,64386
15587,69779
16193,73840
17489,74890
19613,74780
22364,75712
23961,75988
25172,75712
23700,74529
21537,73754
17755,72352
13618,70599
11477,71443
12973,75015
12354,74357
10176,70845
10438,67728
9606,65514
8871,63036
8561,61686
8623,60916
8503,60685
8616,60904
9033,61762
9976,63546
12187,68957
15129,72907
18179,74366
22190,75032
26235,75992
30345,77152
34320,78320
35515,77492
33338,76052
28521,74120
22574,70990
18961,71304
20905,75863
22508,76804
23027,72324
22270,68500
21233,66104
19489,64133
17575,62277
16195,60494
15723,59745
14982,59026
14502,59431
14364,61978
15350,67434
16828,72192
19248,74501
20514,74781
22140,75734
22888,76204
23125,75258
22982,74053
21456,71946
19097,70327
15941,68755
14094,67783
14516,70069
14004,69359
12827,66760
12191,64824
12260,62786
12172,59666
11773,57326
11563,56586
11596,55948
11377,56044
11649,56471
12152,56716
12685,57582
13150,59050
15685,61442
20006,64541
24472,66850
28752,67916
30343,66598
29651,64739
27854,63165
25265,62392
21722,61272
18654,61420
20842,66160
21537,66621
23102,63003
25064,60579
26130,59302
26730,58242
26183,55638
27206,54414
27729,53766
28676,54359
29086,54528
29600,54736
30632,54799
30824,54655
30903,56273
31924,58827
32935,60950
34948,62279
35727,61550
35409,60454
34363,59004
31548,57409
28157,56974
26062,56525
26632,59805
24657,59405
22117,57139
21659,56261
21429,56047
20657,53431
21785,53286
22515,53657
24766,54577
26030,55160
28791,58202
30393,60110
31894,67238
32308,71289
35566,74804
37997,75435
39377,75511
41312,76737
42926,75951
41907,75648
39944,74007
37406,73809
32676,71267
29292,71552
28995,74764
28643,74589
28604,71302
28988,69391
29652,67683
30387,65806
31100,63972
31194,62971
30632,62173
30163,62676
29559,62821
28982,64957
28898,69645
30219,73150
33186,74899
38460,76666
43350,78528
45493,79004
44929,77619
43175,76975
37623,74044
31962,72291
27461,70258
24101,70377
25230,74354
25354,74266
24467,71241
23493,68504
23796,67080
23354,63756
22876,61327
22170,59580
21392,59552
21392,60133
22258,61351
22539,63903
23773,70241
25282,73949
28016,75504
31865,76480
35671,77953
37779,78417
38188,78783
37494,78446
34772,76231
32230,75185
28519,72571
25355,73331
26336,76876
27333,78204
26157,75069
24958,70700
24081,68087
22394,64197
20391,61379
19401,60452
18591,60341
17900,60274
17652,60858
17157,62782
16974,67747
16992,71567
18771,73905
20651,74603
23528,74926
25418,75527
26757,75657
26986,75311
24551,73671
21357,71540
17348,70032
14525,71027
14973,74358
15134,74449
14087,71539
13145,69051
12712,66308
12781,64087
12648,61606
12555,60546
12550,60590
12670,61323
13163,62088
13392,63408
14830,68005
16722,72455
19787,74390
22181,74719
24739,75343
25994,75917
26149,74680
25390,73644
23093,71655
20146,69103
17225,67706
15280,68939
15730,72398
15954,70988
15611,68542
14832,66377
14615,64675
14619,62304
14989,59629
15398,57859
16312,57336
17038,57445
17524,57720
18330,58331
19430,58969
22004,60600
25751,62023
30112,64941
33991,67392
36772,68687
38052,68373
37307,66615
34999,63950
30466,61718
24479,60013
21067,60211
23018,63441
23429,64850
23616,62570
22958,60178
22973,59437
22014,57362
21313,55465
20533,53736
20584,53298
20423,53140
20186,53696
19848,53458
19706,53123
21132,54054
25285,56610
29228,58399
32597,60323
34813,62575
36011,61702
35356,59467
32349,57883
26774,55222
20911,53100
16717,54466
17751,61538
18168,60925
16620,58076
15705,56578
15489,57134
14769,55991
14050,54652
13079,54774
12524,55019
11980,55077
11677,56695
11141,58917
12489,65765
14391,69808
16046,71284
20216,71867
23628,73351
26226,74115
26794,73084
26331,72569
24221,69562
20319,67924
15179,65805
10923,67512
11371,72822
13737,73983
12942,69010
13721,65865
14911,64104
15546,61274
15585,59424
15674,58850
15555,59202
15221,59222
14733,59931
13983,62413
14607,68332
16108,72233
19834,73734
22594,74448
25754,75619
27460,76365
27517,75798
26633,75553
25191,74245
22523,72606
18252,70835
15316,70100
15382,73146
16315,73209
15546,69922
15666,66588
16505,64886
16333,61806
16193,59293
15784,58604
15628,58254
15419,58819
15416,58362
15087,61235
15342,66804
16312,70288
19418,72666
22540,73592
26687,74708
29015,75715
30688,75936
31180,75116
29460,73110
25151,71085
19026,67798
13538,67834
12555,71449
13781,74427
11913,69989
10536,67592
10717,65367
10055,61871
9372,59652
9067,59020
8588,58154
8226,58843
8126,59293
8099,61386
9491,67638
11712,70902
15532,72657
19250,72725
22987,73903
25128,74276
25681,73988
25563,73352
23356,71263
20308,68904
16650,67563
13575,67331
14526,71992
15961,72955
15029,68842
14794,66011
14737,64207
14383,61963
14414,60673
14298,59192
13867,58817
13989,59253
14151,61036
13959,62655
15020,67720
17434,71330
19849,73366
24090,74565
27670,75669
30011,76955
28895,74233
26288,71904
24363,70657
22599,70066
20203,68875
18236,69446
17400,71340
17129,71481
15404,67398
14332,65119
13757,63198
13282,60385
13015,57349
12512,55956
12759,55806
12783,55333
12679,55292
12869,55051
12827,56008
14192,58043
16371,60757
18901,63191
19924,63946
21280,64409
21536,64979
20993,63281
20116,62541
19089,61621
17045,60617
16278,61237
16701,64436
16946,64472
15818,61436
15370,59731
15249,58712
14875,55441
14463,53913
14499,52134
14544,51386
14756,51577
14867,51731
15300,52021
15661,50715
16641,51940
19276,54872
21412,58466
24038,61126
26317,63436
27791,63604
27839,63163
27797,60887
26093,60421
23059,58923
20505,58320
22806,61551
23839,63240
22924,60936
22705,59520
22477,59256
22483,56542
22390,55551
21907,55741
21420,55620
21390,55692
21452,56551
21750,59513
22983,65390
25734,70207
29008,73736
33001,75083
37697,76328
40747,76485
41460,75106
40815,74180
38253,73129
33655,72297
28442,70448
23996,69564
24280,72273
25765,74183
24096,69689
23236,67213
21906,64104
20418,60880
20030,58240
19267,57795
18638,57307
17977,58247
17428,58108
17309,61070
18612,64695
21585,69284
24188,71186
26195,70911
28711,72596
31138,73393
32356,73120
32402,71184
30982,69836
26866,67999
21599,65618
17153,64679
18001,68923
20607,72029
18947,68383
18376,64942
17631,61732
16471,58690
15582,57042
14988,56976
13874,57746
13538,58594
13187,58686
12969,60061
14040,65751
17299,69806
20960,72430
25380,72081
29675,73367
32423,74370
33467,72076
32880,71401
30129,69463
25341,67465
19671,66267
14555,66207
14580,69156
16411,71967
15000,67305
14461,63353
13283,60795
12243,57360
11487,56767
10805,56481
10413,56051
10376,57923
10442,59345
10577,59996
12095,65363
16130,69269
19533,71127
22605,71777
25813,73306
28553,74813
29746,74578
28923,73253
26199,69390
21909,67472
16903,66309
13008,68375
12223,70514
14068,72524
12731,69662
10359,65440
9533,61785
8958,59108
8452,58375
8388,57802
8179,57946
7982,59732
7970,62086
7997,62596
8684,67380
12350,71048
17143,71718
21381,73015
17335,74040
24861,74431
29104,73709
28089,71483
25763,70957
22026,69635
17006,68191
12530,67852
12356,71224
14365,71974
13775,68704
12542,64953
12521,63265
12048,60536
11648,58663
11380,56844
11399,56079
11169,56284
11432,56263
11310,55296
11073,56265
13294,58232
16370,61013
20322,63856
22727,65568
24534,66411
25440,65811
23955,63559
21246,61637
19497,60536
18202,60196
18519,61621
20290,64415
21276,65626
20336,63525
21002,61759
21905,61204
22427,58955
22188,55583
21623,54079
20313,52537
19340,52224
17704,50986
16546,51253
16133,49918
16891,51187
19353,54337
22539,58299
23977,60342
24608,61473
23801,59992
22525,57777
21683,57071
19947,56788
16098,56627
11986,57329
10849,58205
12910,60747
12126,58955
11184,57739
11809,58009
11685,56164
12194,55330
12067,54815
11641,54864
11444,56032
11103,57291
11194,60435
13078,64774
16352,68829
20165,71849
21817,73279
24874,73867
27435,74401
28122,74864
28165,74198
27028,73229
23768,71132
18491,68619
13997,67503
12839,68855
14898,72321
11856,68982
9779,66036
9673,63588
9191,60857
8827,60163
8405,59857
8263,59966
8156,60492
8190,61175
8221,61606
10065,66647
14142,70379
17229,71750
19965,72893
24594,74207
26877,74596
26717,73147
24907,72149
22170,70466
18475,68534
14699,67067
11649,66689
11014,68196
12012,71029
10406,68135
9515,64704
9467,62627
9645,59523
9985,59096
10241,57328
10346,57509
10690,57923
11408,58690
11832,60125
13020,64997
18181,69448
22349,71507
26467,72201
30016,73189
32410,73256
32130,70885
30615,69743
27704,68275
23910,66944
19583,65769
17341,67095
17895,68882
19181,70266
17377,67932
16453,66076
16137,63503
15761,61497
15578,58622
15661,57838
15394,57621
14706,57536
13744,57485
12784,58650
13542,62965
15982,68063
16944,70500
17623,71199
17806,71704
18703,72038
19122,72777
18935,72116
17940,70504
16558,70505
14838,68905
14439,68189
14860,70905
15518,73291
14659,68917
14185,66068
14824,63918
14526,61526
14334,59678
14268,58973
14397,59089
14174,59036
14397,59508
14630,60723
15040,64551
18126,67514
21136,70300
24913,71892
29788,74665
32989,76560
32045,75157
31718,74117
30723,72549
28508,70234
25235,68277
21187,68049
19123,68060
19447,70013
17619,67017
16252,64010
15673,60792
14928,57469
14000,54384
12948,52396
12197,51888
11862,52432
11005,52846
10368,52788
10400,52503
13790,54708
17860,58819
23134,62737
28170,64604
31428,64760
33200,63574
33517,62687
32019,60789
29506,59690
25190,59565
22843,59354
23218,62689
25467,64017
24989,60241
25206,57553
25701,56665
26324,54091
26825,52010
26939,49977
26718,48503
28412,50155
30106,51824
30033,51337
29803,50178
30659,51318
32942,53626
35340,56297
37321,58542
37666,59162
36380,58606
33577,56428
30726,56327
28085,56676
25918,55369
26802,56184
30620,58601
33644,58958
36580,58849
37246,58074
36723,58412
37050,57336
36582,57518
35874,57246
35551,57921
35264,58589
34687,60779
35972,66032
36986,71050
40288,74205
43504,75705
45316,76745
47564,78401
49450,78622
51399,79163
52677,79681
51021,77941
48713,75567
44921,72957
40668,72723
36646,72866
34796,72134
31687,69052
29314,65678
27669,60969
28085,59563
28262,58653
28935,58227
29450,59059
30271,61445
31331,60909
35060,65489
39068,71768
41235,74651
42556,75582
44302,77472
45891,77993
47870,78695
48154,79055
47349,78448
45088,76480
42826,74163
39918,72579
38228,73146
38417,72701
39420,73514
37842,70578
36423,68637
35691,65937
35307,63250
34862,63040
34125,62178
33475,62816
33593,64054
34036,65623
34055,68807
35831,72367
38958,74816
42858,77021
46307,77671
49380,79698
50130,79150
51360,79447
51512,79821
50304,78424
46357,75129
42256,72337
37507,71528
35535,72434
34355,72805
30755,69505
29256,67245
27996,63808
27330,62323
26995,60973
26589,60243
26045,60598
24939,60390
23969,61186
24288,66114
25994,70751
28056,73696
29499,75380
32439,77100
36430,78923
38959,78624
42732,78676
45206,79051
45862,77210
44726,75196
39919,72349
35463,71437
30384,70335
28101,69510
25345,66571
24469,65575
23437,61777
23386,59004
22737,57351
21577,56097
20635,55169
19495,54790
17862,54347
17068,51880
17623,51871
20588,54117
26055,57276
31465,59974
33970,61662
35166,61407
36273,61805
35609,59977
33268,57574
28720,54464
23078,52963
17665,53766
14417,54123
16093,55829
14295,55542
13765,55027
12682,52326
11430,50646
10969,49411
10933,48316
10787,47780
10364,49030
10453,49960
10580,49725
11219,51727
13457,55086
16725,58177
20035,61131
23310,63061
25142,63505
25158,61600
25377,60733
25474,60592
23560,58916
21636,59763
18812,59194
16731,58175
15942,58372
14615,56833
13767,55411
13292,52427
12272,50064
11750,48492
11506,47873
11210,47972
10896,48427
10523,48329
10401,46938
12104,48175
17025,51496
22385,53872
28011,57107
31410,59745
31452,58178
30877,56593
29892,55472
27759,55121
24783,53713
20653,51264
16388,52995
13775,52981
13702,54809
13924,54873
13773,54479
12264,52084
10835,50409
10497,48438
10393,47482
10173,47894
10332,48983
10554,49073
10951,48064
12170,49018
15237,51653
18797,54673
21489,56371
24003,58916
25846,59491
27102,59267
27695,57749
26628,57016
24649,55373
20924,53665
15719,53083
12677,53405
12174,55549
11224,55992
11119,56424
9818,54480
8812,53624
8451,52967
8255,53316
8531,55094
9322,55794
10336,58501
13439,64516
18518,69418
22725,72721
26328,73555
30072,74823
33993,76413
38469,76846
39991,75783
40170,74962
38010,72825
33847,69608
28313,68602
22108,67198
19563,66379
19005,67687
16342,65929
15479,63782
15104,60804
